"","objectid","id_no","binomial","event_year","legend","kingdom","phylum","class","order","family","genus","category","latitude","longitude","area","threat_level"
"29","3085443",9308,"Phanogomphus diminutus",2017,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","GOMPHIDAE","Phanogomphus","Least Concern",33.48131,-81.77239,"America","Least Concern"
"30","1869900",9311,"Phanogomphus hodgesi",2017,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","GOMPHIDAE","Phanogomphus","Near Threatened",30.73204,-87.90135,"America","Near Threatened"
"31","708366",9312,"Phanogomphus sandrius",2016,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","GOMPHIDAE","Phanogomphus","Vulnerable",35.56441,-86.51657,"America","Threatened"
"32","4246681",9313,"Gomphurus septima",2017,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","GOMPHIDAE","Gomphurus","Least Concern",36.53171,-79.99111,"America","Least Concern"
"33","167559",9891,"Hemiphlebia mirabilis",2013,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","HEMIPHLEBIIDAE","Hemiphlebia","Least Concern",-37.32264,142.20502,"Oceania","Least Concern"
"34","3461296",10858,"Ischnura gemina",2016,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","COENAGRIONIDAE","Ischnura","Endangered",38.3103,-122.85513,"America","Threatened"
"35","3192521",11070,"Labeo fisheri",2019,"Extant (resident)","animals","Chordata (animals)","Actinopterygii (Ray-Finned Fish)","CYPRINIFORMES","CYPRINIDAE","Labeo","Endangered",7.031983,80.528436,"Asia","Threatened"
"36","4036344",11072,"Labeo lankae",2019,"Extant (resident)","animals","Chordata (animals)","Actinopterygii (Ray-Finned Fish)","CYPRINIFORMES","CYPRINIDAE","Labeo","Endangered",8.279778,79.875417,"Asia","Threatened"
"37","861872",11286,"Lanistes nasutus",2007,"Extant (resident)","animals","Mollusca (animals)","Gastropoda (Snails and Slugs)","ARCHITAENIOGLOSSA","AMPULLARIIDAE","Lanistes","Critically Endangered",-14.04809,34.92171,"Africa","Threatened"
"38","4638712",11290,"Lanistes solidus",2015,"Extant (resident)","animals","Mollusca (animals)","Gastropoda (Snails and Slugs)","ARCHITAENIOGLOSSA","AMPULLARIIDAE","Lanistes","Near Threatened",-11.28583,34.8,"Africa","Near Threatened"
"39","2888462",11532,"Lepidocephalichthys jonklaasi",2019,"Extant (resident)","animals","Chordata (animals)","Actinopterygii (Ray-Finned Fish)","CYPRINIFORMES","COBITIDAE","Lepidocephalichthys","Endangered",6.0983,80.3152,"Asia","Threatened"
"40","4623706",11929,"Libellula jesseana",2016,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","LIBELLULIDAE","Libellula","Vulnerable",29.84753,-81.96145,"America","Threatened"
"41","313454",12597,"Macromia margarita",2011,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","MACROMIIDAE","Macromia","Least Concern",35.74042,-83.41627,"America","Least Concern"
"42","4620913",12726,"Malpulutta kretseri",2019,"Extant (resident)","animals","Chordata (animals)","Actinopterygii (Ray-Finned Fish)","PERCIFORMES","OSPHRONEMIDAE","Malpulutta","Endangered",6.482398,80.129619,"Asia","Threatened"
"43","4281167",13257,"Spesbona angusta",2013,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","PLATYCNEMIDIDAE","Spesbona","Endangered",-33.98835627,19.18135643,"Africa","Threatened"
"44","796811",14485,"Nehalennia pallidula",2016,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","COENAGRIONIDAE","Nehalennia","Near Threatened",26.21450043,-81.30269623,"America","Near Threatened"
"45","2341990",14890,"Notropis moralesi",2008,"Extant (resident)","animals","Chordata (animals)","Actinopterygii (Ray-Finned Fish)","CYPRINIFORMES","CYPRINIDAE","Notropis","Data Deficient",17.87361,-97.36389,"America","Data Deficient"
"46","2658810",15362,"Ophiogomphus acuminatus",2016,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","GOMPHIDAE","Ophiogomphus","Near Threatened",35.5641,-87.4595,"America","Near Threatened"
"47","1309434",15363,"Ophiogomphus anomalus",2009,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","GOMPHIDAE","Ophiogomphus","Least Concern",43.39899826,-73.88249969,"America","Least Concern"
"48","3309603",15365,"Ophiogomphus edmundo",2017,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","GOMPHIDAE","Ophiogomphus","Near Threatened",36.40859,-80.19832,"America","Near Threatened"
"49","244715",15366,"Ophiogomphus howei",2014,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","GOMPHIDAE","Ophiogomphus","Least Concern",45.45240021,-91.26080322,"America","Least Concern"
"50","1913483",15367,"Ophiogomphus incurvatus",2016,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","GOMPHIDAE","Ophiogomphus","Least Concern",33.1208,-83.7428,"America","Least Concern"
"51","4580737",15387,"Ophisternon infernale",2017,"Extant (resident)","animals","Chordata (animals)","Actinopterygii (Ray-Finned Fish)","SYNBRANCHIFORMES","SYNBRANCHIDAE","Ophisternon","Endangered",20.115,-88.7175,"America","Threatened"
"52","991467",16110,"Paragomphus sinaiticus",2017,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","GOMPHIDAE","Paragomphus","Least Concern",17.09667,54.281,"Africa","Least Concern"
"53","991368",16110,"Paragomphus sinaiticus",2016,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","GOMPHIDAE","Paragomphus","Least Concern",22.83828,59.24428,"Asia","Least Concern"
"54","1033589",18336,"Progomphus bellei",2016,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","GOMPHIDAE","Progomphus","Least Concern",30.0372,-85.53146,"America","Least Concern"
"55","843704",18883,"Systomus asoka",2019,"Extant (resident)","animals","Chordata (animals)","Actinopterygii (Ray-Finned Fish)","CYPRINIFORMES","CYPRINIDAE","Systomus","Critically Endangered",6.994549,80.406033,"Asia","Threatened"
"56","4036446",18895,"Pethia nigrofasciata",2019,"Extant (resident)","animals","Chordata (animals)","Actinopterygii (Ray-Finned Fish)","CYPRINIFORMES","CYPRINIDAE","Pethia","Vulnerable",6.860302,80.169294,"Asia","Threatened"
"57","2108201",18897,"Systomus pleurotaenia",2019,"Extant (resident)","animals","Chordata (animals)","Actinopterygii (Ray-Finned Fish)","CYPRINIFORMES","CYPRINIDAE","Systomus","Vulnerable",6.2668,80.4022,"Asia","Threatened"
"58","4036659",18900,"Puntius titteya",2019,"Extant (resident)","animals","Chordata (animals)","Actinopterygii (Ray-Finned Fish)","CYPRINIFORMES","CYPRINIDAE","Puntius","Vulnerable",6.483409,80.136014,"Asia","Threatened"
"59","4035685",18905,"Pethia bandula",2016,"Extant (resident)","animals","Chordata (animals)","Actinopterygii (Ray-Finned Fish)","CYPRINIFORMES","CYPRINIDAE","Pethia","Critically Endangered",7.158387,80.239525,"Asia","Threatened"
"60","2665121",18908,"Systomus martenstyni",2019,"Extant (resident)","animals","Chordata (animals)","Actinopterygii (Ray-Finned Fish)","CYPRINIFORMES","CYPRINIDAE","Systomus","Endangered",7.598833,80.835933,"Asia","Threatened"
"61","4036373",19314,"Rasbora wilpita",2019,"Extant (resident)","animals","Chordata (animals)","Actinopterygii (Ray-Finned Fish)","CYPRINIFORMES","CYPRINIDAE","Rasbora","Vulnerable",6.0982,80.3153,"Asia","Threatened"
"62","474103",19736,"Millerichthys robustus",2017,"Extant (resident)","animals","Chordata (animals)","Actinopterygii (Ray-Finned Fish)","CYPRINODONTIFORMES","RIVULIDAE","Millerichthys","Endangered",18.628786,-95.605436,"America","Threatened"
"63","4608529",19972,"Schismatogobius deraniyagalai",2019,"Extant (resident)","animals","Chordata (animals)","Actinopterygii (Ray-Finned Fish)","PERCIFORMES","GOBIIDAE","Schismatogobius","Least Concern",6.645235,80.215929,"Asia","Least Concern"
"64","407821",20200,"Sicyopus jonklaasi",2019,"Extant (resident)","animals","Chordata (animals)","Actinopterygii (Ray-Finned Fish)","PERCIFORMES","GOBIIDAE","Sicyopus","Endangered",6.58235,80.20934,"Asia","Threatened"
"65","121025",20340,"Somatochlora brevicincta",2016,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","CORDULIIDAE","Somatochlora","Least Concern",47.55810165,-91.65740204,"America","Least Concern"
"66","1833908",20342,"Somatochlora hineana",2019,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","CORDULIIDAE","Somatochlora","Least Concern",45.06775,-87.12432,"America","Least Concern"
"67","1416717",20343,"Somatochlora incurvata",2016,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","CORDULIIDAE","Somatochlora","Least Concern",46.04339981,-89.89730072,"America","Least Concern"
"68","1839729",20344,"Somatochlora margarita",2016,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","CORDULIIDAE","Somatochlora","Data Deficient",31.50699,-93.12589,"America","Data Deficient"
"69","2715718",20345,"Somatochlora ozarkensis",2016,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","CORDULIIDAE","Somatochlora","Near Threatened",36.03070068,-94.83899689,"America","Near Threatened"
"70","2780153",21119,"Stylurus townesi",2016,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","GOMPHIDAE","Stylurus","Least Concern",33.763,-80.677,"America","Least Concern"
"71","172624",22207,"Trithemis hartwigi",2014,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","LIBELLULIDAE","Trithemis","Least Concern",1.94666,16.50623,"Africa","Least Concern"
"72","1242699",22208,"Trithemis nigra",2011,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","LIBELLULIDAE","Trithemis","Near Threatened",1.58613889,7.42191667,"Africa","Near Threatened"
"73","1173774",22816,"Urothemis luciana",2013,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","LIBELLULIDAE","Urothemis","Near Threatened",-28.30472,32.45364,"Africa","Near Threatened"
"74","2438861",22817,"Urothemis thomasi",2016,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","LIBELLULIDAE","Urothemis","Endangered",16.74972,53.22583,"Africa","Threatened"
"75","2438866",22817,"Urothemis thomasi",2017,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","LIBELLULIDAE","Urothemis","Endangered",25.10637,56.04325,"Asia","Threatened"
"76","2816183",23079,"Williamsonia lintneri",2017,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","CORDULIIDAE","Williamsonia","Least Concern",42.81454,-84.35749,"America","Least Concern"
"77","1413334",23116,"Xenoophorus captivus",2014,"Extant (resident)","animals","Chordata (animals)","Actinopterygii (Ray-Finned Fish)","CYPRINODONTIFORMES","GOODEIDAE","Xenoophorus","Endangered",22.7577,-101.077,"America","Threatened"
"78","4496427",30359,"Raphia australis",2016,"Extant (resident)","plants","Tracheophyta (plants)","Liliopsida (Plants)","ARECALES","ARECACEAE","Raphia","Vulnerable",-24.934072,34.18,"Africa","Threatened"
"79","4087621",34053,"Alnus maritima",2002,"Extant (resident)","plants","Tracheophyta (plants)","Magnoliopsida (Plants)","FAGALES","BETULACEAE","Alnus","Endangered",34.32387425,-96.71058655,"America","Threatened"
"80","5019833",36875,"Croton cuneatus",2016,"Extant (resident)","plants","Tracheophyta (plants)","Magnoliopsida (Plants)","MALPIGHIALES","EUPHORBIACEAE","Croton","Least Concern",5.793917,-68.825472,"America","Least Concern"
"81","26571",39296,"Typhlias pearsei",2017,"Extant (resident)","animals","Chordata (animals)","Actinopterygii (Ray-Finned Fish)","OPHIDIIFORMES","DINEMATICHTHYIDAE","Typhlias","Near Threatened",20.73388889,-89.28833333,"America","Near Threatened"
"82","4035892",41247,"Dawkinsia srilankensis",2019,"Extant (resident)","animals","Chordata (animals)","Actinopterygii (Ray-Finned Fish)","CYPRINIFORMES","CYPRINIDAE","Dawkinsia","Endangered",7.345708,80.735294,"Asia","Threatened"
"83","980543",42685,"Stenogomphurus consanguis",2015,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","GOMPHIDAE","Stenogomphurus","Least Concern",36.19116,-82.37411,"America","Least Concern"
"84","152425",42686,"Gomphurus lynnae",2016,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","GOMPHIDAE","Gomphurus","Least Concern",46.83424,-119.8974,"America","Least Concern"
"85","1895410",42687,"Gomphurus modestus",2016,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","GOMPHIDAE","Gomphurus","Least Concern",31.49786,-93.14641,"America","Least Concern"
"86","1357135",42688,"Hylogomphus geminatus",2017,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","GOMPHIDAE","Hylogomphus","Least Concern",30.54533,-87.7883,"America","Least Concern"
"87","3323482",42689,"Hylogomphus parvidens",2017,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","GOMPHIDAE","Hylogomphus","Least Concern",33.33833,-81.84237,"America","Least Concern"
"88","106041",42840,"Metacnemis valida",2014,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","PLATYCNEMIDIDAE","Metacnemis","Endangered",-32.4845,26.94727,"Africa","Threatened"
"89","2903365",42841,"Teinobasis alluaudi",2009,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","COENAGRIONIDAE","Teinobasis","Least Concern",-4.93,39.7,"Africa","Least Concern"
"90","3260004",42845,"Ceratogomphus triceraticus",2013,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","GOMPHIDAE","Ceratogomphus","Near Threatened",-34.31542,18.96283,"Africa","Near Threatened"
"91","4648420",44201,"Potamonautes lirrangensis",2016,"Extant (resident)","animals","Arthropoda (animals)","Malacostraca (Crustaceans)","DECAPODA","POTAMONAUTIDAE","Potamonautes","Least Concern",0.5,25.2,"Africa","Least Concern"
"92","3101006",44202,"Potamonautes obesus",2015,"Extant (resident)","animals","Arthropoda (animals)","Malacostraca (Crustaceans)","DECAPODA","POTAMONAUTIDAE","Potamonautes","Least Concern",-18.834,34.538,"Africa","Least Concern"
"93","3573769",44203,"Potamonautes suprasulcatus",2014,"Extant (resident)","animals","Arthropoda (animals)","Malacostraca (Crustaceans)","DECAPODA","POTAMONAUTIDAE","Potamonautes","Least Concern",-7.7666666,35.7,"Africa","Least Concern"
"94","4624818",44230,"Ceratophallus kisumiensis",2004,"Extant (resident)","animals","Mollusca (animals)","Gastropoda (Snails and Slugs)","HYGROPHILA","PLANORBIDAE","Ceratophallus","Near Threatened",-0.41666667,34.2,"Africa","Near Threatened"
"95","1311006",44231,"Gabbiella stanleyi",2007,"Extant (resident)","animals","Mollusca (animals)","Gastropoda (Snails and Slugs)","LITTORINIMORPHA","BITHYNIIDAE","Gabbiella","Vulnerable",-14.04809,34.92171,"Africa","Threatened"
"96","1993071",44236,"Gabbiella humerosa",2016,"Extant (resident)","animals","Mollusca (animals)","Gastropoda (Snails and Slugs)","LITTORINIMORPHA","BITHYNIIDAE","Gabbiella","Least Concern",0.05,32.45,"Africa","Least Concern"
"97","2007189",44270,"Cleopatra cridlandi",2004,"Extant (resident)","animals","Mollusca (animals)","Gastropoda (Snails and Slugs)","SORBEOCONCHA","PALUDOMIDAE","Cleopatra","Critically Endangered",-0.41666667,34.2,"Africa","Threatened"
"98","4250735",44521,"Potamonautes choloensis",2014,"Extant (resident)","animals","Arthropoda (animals)","Malacostraca (Crustaceans)","DECAPODA","POTAMONAUTIDAE","Potamonautes","Least Concern",-15.93166667,35.62555556,"Africa","Least Concern"
"99","3166848",44551,"Potamonautes montivagus",2014,"Extant (resident)","animals","Arthropoda (animals)","Malacostraca (Crustaceans)","DECAPODA","POTAMONAUTIDAE","Potamonautes","Least Concern",-19.168611,33.760278,"Africa","Least Concern"
"100","4466735",59694,"Africallagma cuneistigma",2013,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","COENAGRIONIDAE","Africallagma","Critically Endangered",-19.784,33.029,"Africa","Threatened"
"101","647245",59695,"Allocnemis mitwabae",2011,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","PLATYCNEMIDIDAE","Allocnemis","Endangered",-10.57,27.88,"Africa","Threatened"
"102","3679774",59699,"Ceriagrion annulatum",2014,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","COENAGRIONIDAE","Ceriagrion","Least Concern",-1.60549,14.25305,"Africa","Least Concern"
"103","1192121",59707,"Cordulegaster sayi",2017,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","CORDULEGASTRIDAE","Cordulegaster","Least Concern",30.81835,-81.93558,"America","Least Concern"
"104","4117631",59718,"Gomphurus gonzalezi",2015,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","GOMPHIDAE","Gomphurus","Data Deficient",29.1553,-103.5982,"America","Data Deficient"
"105","4117617",59718,"Gomphurus gonzalezi",2012,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","GOMPHIDAE","Gomphurus","Data Deficient",26.08042,98.13766,"Asia","Data Deficient"
"106","2417165",59727,"Erpetogomphus heterodon",2015,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","GOMPHIDAE","Erpetogomphus","Least Concern",33.22750092,-108.23799896,"America","Least Concern"
"107","1931018",59736,"Leptobasis melinogaster",2015,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","COENAGRIONIDAE","Leptobasis","Vulnerable",23.30755,-106.43555,"America","Threatened"
"108","3289447",59742,"Micromacromia flava",2012,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","LIBELLULIDAE","Micromacromia","Near Threatened",-7.66804,15.20084,"Africa","Near Threatened"
"109","4556893",59750,"Neurocordulia michaeli",2009,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","CORDULIIDAE","Neurocordulia","Least Concern",41.74079895,-75.0530014,"America","Least Concern"
"110","3046658",59755,"Parazyxomma flavicans",2016,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","LIBELLULIDAE","Parazyxomma","Least Concern",-1.90681,30.71726,"Africa","Least Concern"
"111","3664209",59767,"Pseudagrion coeruleipunctum",2012,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","COENAGRIONIDAE","Pseudagrion","Least Concern",-1.64766,13.68004,"Africa","Least Concern"
"112","566520",59769,"Pseudagrion vumbaense",2013,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","COENAGRIONIDAE","Pseudagrion","Endangered",-18.27675,32.81816,"Africa","Threatened"
"113","173554",59776,"Cornigomphus guineensis",2014,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","GOMPHIDAE","Cornigomphus","Least Concern",0.129826,13.677283,"Africa","Least Concern"
"114","2266541",59779,"Aciagrion africanum",2014,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","COENAGRIONIDAE","Aciagrion","Least Concern",-12.367605,27.483109,"Africa","Least Concern"
"115","4488887",59781,"Aciagrion gracile",2014,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","COENAGRIONIDAE","Aciagrion","Least Concern",7.55448,36.05687,"Africa","Least Concern"
"116","3088517",59783,"Aciagrion heterostictum",2016,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","COENAGRIONIDAE","Aciagrion","Least Concern",-1.9141,30.70773,"Africa","Least Concern"
"117","3845777",59784,"Aciagrion steeleae",2014,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","COENAGRIONIDAE","Aciagrion","Least Concern",-8.831119,35.46627,"Africa","Least Concern"
"118","3552708",59786,"Acisoma trifidum",2016,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","LIBELLULIDAE","Acisoma","Least Concern",0.122426,32.525828,"Africa","Least Concern"
"119","2965598",59788,"Pinheyschna rileyi",2013,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","AESHNIDAE","Pinheyschna","Least Concern",-19.784,33.029,"Africa","Least Concern"
"120","4333982",59789,"Afroaeschna scotias",2016,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","AESHNIDAE","Afroaeschna","Least Concern",-2.44772,29.10757,"Africa","Least Concern"
"121","1375339",59792,"Aethiothemis solitaria",2014,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","LIBELLULIDAE","Aethiothemis","Least Concern",-12.367605,27.483109,"Africa","Least Concern"
